source_row,图片,ASIN,SKU,详细参数,品牌,品牌链接,商品标题,商品详情页链接,商品主图,PASIN,亚马逊标识,类目路径,大类目,大类BSR,大类BSR增长数,大类BSR增长率,小类目,小类BSR,近30天销量,近30天销量增长率,子体销量,近30天销售额($),近30天销售额增长率($),价格($),Prime价格($),Coupon,毛利率,FBA($),评分,评分数,留评率,月新增_评分数,Q&A数,评级,上架时间,上架天数,LQS,变体数,卖家数,Buybox卖家,BuyBox类型,卖家所属地,卖家信息,卖家首页,配送方式,重量,重量_2,体积,体积_2
2,,B093LBH2ST,Color: Yellow,Brand: AstroAI | Voltage: 12 Volts | Recommended Uses For Product: Tire Inflation | Power Source: Corded Electric | Noise Level: 65 dB,AstroAI,https://www.amazon.com/stores/AstroAI/page/28D51F16-1EC3-4C48-903C-331F8691BF91?ref_=ast_bln,"AstroAI Tire Inflator Air Compressor Portable Air Pump for Car Tires, 12V DC Integrated Metal Structure Tire Pump 160PSI with LED Light for Cars, Bicycles, Motorcycles",https://www.amazon.com/dp/B093LBH2ST?psc=1,https://images-na.ssl-images-amazon.com/images/I/81fNqAMj67L._AC_US600_.jpg,B0C52X4MB2,AC ABS A+ V,Automotive:Tires & Wheels:Accessories & Parts:Air Compressors & Inflators,Automotive,1655,710,0.308,Wheel & Tire Air Compressors & Inflators,51,1129,'-0.4308,700+,40632.71,'-0.4308,35.99,,,0.6585,6.89,4.5,3881,0.0859,97,55,,2021-09-09,858,10,3,13,AstroAI Direct,FBA,US,"公司名称：AstroAI Corporation
电话号码：+1 877 278 7624
办公地址：
7423 Doig Dr
GARDEN GROVE
CA
92841
US",https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A2NOFZGOKNP3PJ,FBA,2.77 pounds,1.26 kg,"8.7""L x 7.2""W x 3""H",
3,,B0CLNGGN39,Size: P008,,Sobtoe,https://www.amazon.com/stores/Sobtoe/page/67F813C3-9FF8-4B24-A419-AD4035A29F6D?ref_=ast_bln,"Sobtoe Tire Inflator Portable Air Compressor,20000mAh&180psi Portable Air Pump for Car Tires - Accurate Pressure LCD Display, Car tire air Pump 4X Fast Inflation Air Compressor for Car,Motorcycle etc",https://www.amazon.com/dp/B0CLNGGN39?psc=1,https://images-na.ssl-images-amazon.com/images/I/416PqHQPs1L._AC_US600_.jpg,B0CNBTWJD2,ABS A+ V,Automotive:Tires & Wheels:Accessories & Parts:Air Compressors & Inflators,Automotive,1661,8921,0.8311,Wheel & Tire Air Compressors & Inflators,52,823,7.8764,700+,65831.766,7.8764,79.99,,30%,0.7738,6.1,4.5,18,0.0146,12,21,,2023-10-23,84,10,1,1,Sobtoe US,FBA,CN,"公司名称：shenzhenshiyunzuoyouwenhuachuangyiyouxiangongsi
办公地址：
鹏湾社区深盐路2001号合景同创广场2栋2A1501
深圳市
盐田区海山街道
广东省
518000
CN",https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A2JZLH43YMHM0E,FBA,1.67 pounds,757.50 g,7.28 x 2.83 x 4.53 inches,18.49 x 7.19 x 11.51 cm
4,,B08RD3JZDR,Color: Yellow Zipper,Brand: Aproca | Recommended Uses For Product: Tire Inflation | Special Feature: PRESSURE DETECTION | Item Weight: 13.43 Ounces | Color: Yellow Zipper,Aproca,https://www.amazon.com/stores/Aproca/page/76A46DD4-0DD7-4303-9607-325C2756C7C7?ref_=ast_bln,Aproca Hard Storage Travel Case Fit for AstroAI Air Compressor Tire Inflator Portable Air Pump,https://www.amazon.com/dp/B08RD3JZDR?psc=1,https://images-na.ssl-images-amazon.com/images/I/71q0DDa6c0L._AC_US600_.jpg,B0BQ6GKT4M,AC A+,Automotive:Tires & Wheels:Accessories & Parts:Air Compressors & Inflators,Automotive,1670,1148,0.4074,Wheel & Tire Air Compressors & Inflators,53,999,0.1178,500+,19970.01,0.1178,19.99,,,0.5199,6.6,4.7,455,0.035,35,4,,2020-12-27,1114,10,3,1,Aproca Direct,FBA,CN,"公司名称：shenzhenshi adini xiangbao youxiangongsi
办公地址：
龙华街道
三联社区和平东路111号世纪华庭6栋602
深圳市
龙华区
广东
518109
CN",https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A12RCUJWIG1IBN,FBA,13.4 ounces,379.88 g,11.42 x 6.61 x 4.61 inches,29.01 x 16.79 x 11.71 cm
5,,B0CGX2WSKL,Size: With Case,,AZUNO,https://www.amazon.com/stores/AZUNO/page/45FA2489-2A97-4822-B968-7993FC5BA8EB?ref_=ast_bln,"AZUNO Digital Tire Inflator with Pressure Gauge, 200 PSI, Heavy Duty Air Compressor Accessories, Comes with a Portable Carrying Box",https://www.amazon.com/dp/B0CGX2WSKL?psc=1,https://m.media-amazon.com/images/I/417KeT8zAeL._AC_US600_.jpg,B0CQ2BH8YZ,NR ABS A+,Automotive:Tires & Wheels:Accessories & Parts:Air Compressors & Inflators,Automotive,1704,252,0.1304,Wheel & Tire Air Compressors & Inflators,54,1292,'-0.4118,500+,37455.08,'-0.4118,28.99,,,0.6434,5.99,4.5,5340,0.0441,57,40,,2023-08-30,138,10,2,1,AZUNO,FBA,,,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A36Q9R332HMQ3J,FBA,1.76 pounds,798.32 g,9.06 x 4.76 x 2.91 inches,23.01 x 12.09 x 7.39 cm
6,,B0BCQLNVVW,,"Brand: UABRLA | Voltage: 11.1 Volts | Recommended Uses For Product: Tire Inflation | Power Source: Battery Powered | Special Feature: Accurate & Real-time Pressure, Quick-connect Hose, 160 PSI Max, 2X Faster Inflation, Cordless, portable and lightweight",UABRLA,https://www.amazon.com/stores/UABRLA/page/4DF9EC75-FBF0-40D3-B71C-B38338190CC1?ref_=ast_bln,"UABRLA Tire Inflator Portable Air Compressor, 2X Faster & Powerful 160PSI, Cordless Tire Inflator with Accurate LCD Pressure Gauge, Electric Air Pump for Car Tires, Motorcycle, Bike, Ball",https://www.amazon.com/dp/B0BCQLNVVW?psc=1,https://images-na.ssl-images-amazon.com/images/I/814ZNWFdczL._AC_US600_.jpg,B0BCQLNVVW,AC BS NR ABS A+ V,Automotive:Tires & Wheels:Accessories & Parts:Air Compressors & Inflators,Automotive,1709,9930,0.8532,Wheel & Tire Air Compressors & Inflators,55,281,'-0.7915,200+,19658.76,'-0.7915,69.96,49.96,$10.00,0.7628,6.1,4.5,944,0,0,24,,2022-08-31,502,10,1,1,FAEYIN,FBA,CN,"公司名称：shenzhenfanyingtewangluokejiyouxiangongsi
办公地址：
南湖街道渔邨社区嘉宾路4055号城市天地广场东座816-095
深圳市
罗湖区
广东省
518010
CN",https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A1AG0J8K59INN7,FBA,1.64 Pounds,743.89 g,"4.33""L x 3.15""W x 7.09""H",
7,,B0CH88H2H3,Color: 21000mah,Brand: Chaoteng | Voltage: 12 Volts (DC) | Recommended Uses For Product: Tire Inflation | Power Source: Battery Powered | Noise Level: 55 dB,Chaoteng,https://www.amazon.com/s/ref=bl_dp_s_web_0?ie=UTF8&search-alias=aps&field-keywords=Chaoteng,"Tire Inflator Portable Air Compressor- New Upgrade 21000mAh Portable Air Pump-150PSI Cordless Smart Tire Pump -Accurate Pressure LCD Display, 3X Fast Inflation for Cars,Bikes,Motorcycle,Tires,Balls",https://www.amazon.com/dp/B0CH88H2H3?psc=1,https://images-na.ssl-images-amazon.com/images/I/41PbwoRSDuL._AC_US600_.jpg,B0CRP96N5M,ABS A+,Automotive:Tires & Wheels:Accessories & Parts:Air Compressors & Inflators,Automotive,1718,1497,0.4752,Wheel & Tire Air Compressors & Inflators,56,990,1.5423,800+,32254.201,1.5423,35.19,,,0.6628,6.1,3.9,16,0.0111,11,,,2023-09-03,134,9.5,2,9,迅音旗舰店,FBA,CN,"公司名称：Xiamen Shengjingwei Trading Co., Ltd.
办公地址：
集美区后溪镇英村英埭头里10号
501室
厦门市
福建
361024
CN",https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A1BMVSFO2XJFL2,FBA,1.32 Pounds,598.74 g,"6.7""L x 2.72""W x 1.97""H",
8,,B0B17TNCGG,Color: Red,"Color: Red | Brand: carsun | Material: Metal | Item Weight: 1.85 Pounds | Product Dimensions: 8.3""L x 3.2""W x 6.3""H",carsun,https://www.amazon.com/stores/CARSUN/page/93F7562E-71DF-41EA-9E65-158020003FB4?ref_=ast_bln,"Air Compressor Tire Inflator Portable Air Pump DC 12V Auto Tire Pump with Digital Pressure Gauge,150PSI with Emergency LED Light for Car Tires, Motorcycle, Bicycle and Other Inflatables",https://www.amazon.com/dp/B0B17TNCGG?psc=1,https://images-na.ssl-images-amazon.com/images/I/41HOm2RG45L._AC_US600_.jpg,B0B654GY6W,AC NR ABS A+ V,Automotive:Tires & Wheels:Accessories & Parts:Air Compressors & Inflators,Automotive,1720,297,0.1605,Wheel & Tire Air Compressors & Inflators,57,1423,0.0251,"1,000+",38406.77,0.0251,26.99,20.99,5%,0.6281,5.99,4.4,1538,0.09,128,8,,2022-05-12,613,10,2,2,CARSUN-US,FBA,CN,"公司名称：yiwushitianyingdianzishangwuyouxiangongsi
办公地址：
童店2区29栋2单元402室
义乌市
稠江街道
浙江省
322000
CN",https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A3EG4MX0RFGXBX,FBA,1.85 Pounds,839.15 g,"8.3""L x 3.2""W x 6.3""H",
9,,B07RVHPWK8,Size: 100psi Analog,"Brand: AstroAI | Material: Stainless Steel, Brass, Rubber | Item Dimensions LxWxH: 17.92 x 1.42 x 1.22 inches",AstroAI,https://www.amazon.com/stores/AstroAI/page/28D51F16-1EC3-4C48-903C-331F8691BF91?ref_=ast_bln,"AstroAI Tire Inflator with Pressure Gauge, 100 PSI Air Chuck and Compressor Accessories Heavy Duty with Large 2.5"" Easy Read Glow Dial, Durable Rubber Hose and Quick Connect Coupler",https://www.amazon.com/dp/B07RVHPWK8?psc=1,https://images-na.ssl-images-amazon.com/images/I/71f7WWpH0sL._AC_US600_.jpg,B0CRZ26Z2T,AC ABS A+ V,Automotive:Tires & Wheels:Accessories & Parts:Air Compressors & Inflators,Automotive,1784,394,0.1765,Wheel & Tire Air Compressors & Inflators,58,1417,'-0.0034,"1,000+",26186.16,'-0.0034,18.48,,,0.5416,5.7,4.5,3877,0.0289,41,36,,2019-06-10,1680,10,2,8,AstroAI Direct,FBA,US,"公司名称：AstroAI Corporation
电话号码：+1 877 278 7624
办公地址：
7423 Doig Dr
GARDEN GROVE
CA
92841
US",https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A2NOFZGOKNP3PJ,FBA,1.04 Pounds,471.74 g,17.92 x 1.42 x 1.22 inches,45.52 x 3.61 x 3.10 cm
10,,B09QXK5PR5,Pattern Name: 4000mAh Battery Cordless,"Color: Black | Brand: LILTSDRAE | Material: Acrylonitrile Butadiene Styrene | Item Weight: 0.98 Pounds | Product Dimensions: 2.4""L x 6.18""W x 2.4""H",LILTSDRAE,https://www.amazon.com/stores/LiltsDRae/page/5E48229B-2812-4D21-A0F3-3B2973FE3B71?ref_=ast_bln,"LiltsDRae Bike Pump Bicycle Pump, Tire Inflator Portable Air Compressor for Car, Max 150PSI/10.3 Bar, Auto Shut-Off Air Pump with Presta & Schrader & Dunlop Valve",https://www.amazon.com/dp/B09QXK5PR5?psc=1,https://images-na.ssl-images-amazon.com/images/I/71OymFavfPL._AC_US600_.jpg,B0BMVLLWM3,AC ABS A+ V,Automotive:Tires & Wheels:Accessories & Parts:Air Compressors & Inflators,Automotive,1824,4540,0.7134,Wheel & Tire Air Compressors & Inflators,59,1159,0.026,"1,000+",46348.41,0.026,39.99,34.99,,0.7047,5.81,4.4,1402,0.0388,45,48,,2022-02-27,687,9.9,2,1,LILTSDRAE Store,FBA,CN,"公司名称：Yangchengxianyonghuiguangfushebeianzhuangyouxiango
办公地址：
阳邑村
晋城市
阳城县西河乡
山西省
048000
CN",https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A1XPVR45UENYI6,FBA,0.98 Pounds,444.52 g,"2.4""L x 6.18""W x 2.4""H",
11,,B0C4KRC3FD,Color: ‎black-red,Brand: GOOLOO | Voltage: 12 Volts | Recommended Uses For Product: 輪胎充氣 | Power Source: Battery Powered | Noise Level: 80 dB,GOOLOO,https://www.amazon.com/stores/GOOLOO/page/05FDEEF2-64D7-40A7-8525-D6A2B678E575?ref_=ast_bln,"GOOLOO GT160 Tire Inflator Portable Air Compressor, 160PSI Portable Air Pump for Car Tires, 7500mAh Cordless Air Pump with Digital Pressure Suitable for Cars, Bikes, Balls, Motorcycles black-red",https://www.amazon.com/dp/B0C4KRC3FD?psc=1,https://images-na.ssl-images-amazon.com/images/I/71Ib5hC+q3L._AC_US600_.jpg,B0CRRF6D9G,AC NR ABS A+ V,Automotive:Tires & Wheels:Accessories & Parts:Air Compressors & Inflators,Automotive,1834,1102,0.3556,Wheel & Tire Air Compressors & Inflators,60,1225,0.0758,700+,97987.75,0.0758,79.99,49.99,,0.7625,7,4.4,282,0.0229,28,5,,2023-05-07,253,10,2,2,GOOLOO,FBA,CN,"公司名称：shen zhen shi gu lu ke ji you xian gong si
办公地址：
坂田街道大发埔社区
深澳文化产业园12栋2层
深圳
龙岗区
广东
518129
CN",https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=AU30U33PEM3VY,FBA,1.89 Pounds,857.29 g,"7.19""L x 2.54""W x 2.83""H",
