source_row,关键词,关键词翻译,趋势,旺季,淡季,综合,月搜索量,月购买量,购买率,SPR,PPC竞价,AC推荐词,流量占比,流量词类型,首个ASIN自然排名,首个ASIN广告排名,预估周曝光量,相关产品,相关ASIN,ABA周排名,unnamed_21,unnamed_22,unnamed_23,unnamed_24,标题密度,商品数,供需比,广告竞品数,点击集中度,前三ASIN转化总占比,unnamed_31,建议竞价范围,#1_前三ASIN,#1_点击共享,#1_转化共享,#2_前三ASIN,#2_点击共享,#2_转化共享,#3_前三ASIN,#3_点击共享,#3_转化共享,前十ASIN
2,portable jump starter for car,便携式汽车启动器,"'=DISPIMG(""ID_B708B7CE830D47A4A8E0223F4ACAB67D"",1)",10-4,5-9,1438154.18544,34699,3792,0.1093,50,$0.20,,0.0139,自然搜索词/HR推荐词/品牌广告词/视频广告词/SP广告词,5,1,67675,11,B0CGJ5GZWM/B087LRFYDB/B09HJH1S41/B0C7BS8P5Y/B016UG6PWE/B08NPGCFSG/B084YQSVZ6/B015TKUPIC/B09F9CR89W/B08MFKSVX5/B09W2GVWKM,41540,,,,,7,20250,129.82,127,0.3305,0,,$0.27 - $0.44,B0CV4P268R,0.1741,0,B0B8TZ2H95,0.0921,0,B09NJ8LGRS,0.0644,0,"B09NK7SM2N,B09QFH7Y3N,B0B6GGJ8WK,B08XYBPDWG,B0B64G5BBT,B00TPJJHQA,B0B72S6WNC,912437217X,B00HT7U55W,B0186CUXFU"
3,car battery charger,汽车电池充电器,"'=DISPIMG(""ID_F1044BE9AB2645CD8901A7BC6FA59DF5"",1)",10-5,4-9,477852.225619835,146343,9219,0.063,121,$1.47,,0.0217,自然搜索词,12,,105618,10,B08NPGCFSG/B015TKUPIC/B09HJH1S41/B0C7BS8P5Y/B087LRFYDB/B016UG6PWE/B09F9CR89W/B0CGJ5GZWM/B08TWVQCDH/B07T9S3Q5N,6001,,,,,9,129763,3.27,101,0.374,0,,$2.98 - $4.96,B0C9PDHDS1,0.1724,0,B0C9P5GGYY,0.1089,0,B0CV4HYNKW,0.0927,0,"B0C9P2BD5W,B0CKMXVVS5,B09FJ5NFX6,B0B5KY6JDG,B07RJ7PCHR,B004AUNSX2,B09XZP12TX,B07BPR2Y2C,B07GWW54HL,B07RJ7PCHS"
4,jumper cables with battery pack,带电池组的跨接电缆,"'=DISPIMG(""ID_CDFF0A58A88145E08E36D82173A1AA24"",1)",6-2,3-7,472430.006612149,50017,6667,0.1334,88,$1.07,,0.0101,自然搜索词/HR推荐词/品牌广告词/视频广告词/SP广告词,4,1,49064,10,B08TWVQCDH/B09HJH1S41/B0C7BS8P5Y/B016UG6PWE/B087LRFYDB/B08NPGCFSG/B015TKUPIC/B0CGJ5GZWM/B09W2GVWKM/B09F9CR89W,40833,,,,,2,951,136.7,,0.43,0,,$0.61 - $1.00,B00KOLOT9S,0.2846,0,B00N7CHOD4,0.088,0,B0C5BZSWTW,0.0575,0,"B00005JKXE,B003YRILKW,B00KOLSSTK,B08J9Z8LWS,B0B8K24TJ7,B0B6KYLKKZ,B0CJ513WYQ,B0B7C41C74,B0B5VZP1FZ,B09CQGXT54"
5,portable air pump for car tires,汽车轮胎便携式充气泵,"'=DISPIMG(""ID_58914A6A323C44B7B1788DCD0009EAA9"",1)",7-3,4-6,403051.809616725,61608,6271,0.1018,82,$1.19,,,SP广告词,,9,116,1,B084YQSVZ6,30785,,,,,11,138350,12,,0.1194,0.0708,,$2.42 - $4.03,B0988X73FW,0.0408,0.0379,B097CB5WXB,0.0399,0.0121,B09B7DMRG5,0.0389,0.0208,"B0988X73FW,B09B7DMRG5,B0C4GX2NYW,B09NCVWMN8,B07VGRVKSN,B0CH14PBX9,B09NNFRDCX,B096V6DCS1,B07MSLTN8W,B0BBLFQSZT"
6,portable car jump starter,便携式汽车起爆器,"'=DISPIMG(""ID_9CBDA119D60840AFA58FA76322692DB3"",1)",8-2,3-7,394644.781009252,51703,2166,0.0419,29,$0.41,,0.0161,自然搜索词/HR推荐词/品牌广告词/视频广告词/SP广告词,4,1,78293,12,B0CGJ5GZWM/B09HJH1S41/B087LRFYDB/B0C7BS8P5Y/B016UG6PWE/B08NPGCFSG/B08MFKSVX5/B015TKUPIC/B09F9CR89W/B07T9S3Q5N/B08TWVQCDH/B084YQSVZ6,31525,,,,,15,1155,162.01,40,0.4747,0.4258,,$3.00 - $5.00,B079LHNH8D,0.2974,0.2726,B09592FGCY,0.0981,0.0729,B073VHBRFC,0.0792,0.0803,"B09592FGCY,B073VHBRFC,B01K17TV2O,B09ZYT2H5P,B07MWL3YR2,B0969KT75Q,B074DMCRNF,B00SAT6Y08,B08MKZ6PPL,B08T6KPF2F"
7,trickle charger for car battery 12v,汽车电池涓流充电器 12v,"'=DISPIMG(""ID_E7756E92A94A4F01B014593926AE95D1"",1)",10-4,5-9,383466.789377778,50009,7546,0.1509,99,1.5,,,SP广告词,,22,0,1,B08TWVQCDH,26108,,,,,16,3616,54.7,254,0.2657,0.2739,,$1.69 - $2.51,B0BDLC7RVB,0.1251,0.1316,B07WGZ8DSL,0.073,0.0746,B0BPH6S4DN,0.0678,0.0677,"B0CKDQCFPB,B0BDLC7RVB,B07WGZ8DSL,B0BPH6S4DN,B0CC4LM6V1,B0BQHHYCSC,B07PGT7LSR,B08S333KDC,B0795DJXNH,B0BYZHTPSY"
8,battery charger,电池充电器,"'=DISPIMG(""ID_AE7463E5437444CA9E4554789E2FC98F"",1)",9-5,6-8,381752.439893617,213615,7113,0.0333,94,$1.41,,0.0113,自然搜索词,55,,54769,6,B015TKUPIC/B087LRFYDB/B016UG6PWE/B08MFKSVX5/B07T9S3Q5N/B09HJH1S41,2500,,,,,44,2290,169.33,337,0.2213,0.1733,,$2.25 - $3.77,B09GBBRJN8,0.0929,0.0826,B0BN77ZWKW,0.0704,0.0383,B09R4GF86F,0.0582,0.0524,"B09R4GF86F,B0CLXMBFMC,B098355866,B0CLNTP7T7,B09GBBRJN8,B0CNL6ZHFG,B0C3Q3VHWB,B0CQNT95BD,B0CQZHYPMR,B0CNW7K7SD"
9,battery jumper starter portable,电池跳线启动器便携式,"'=DISPIMG(""ID_1D644DB251EB445A91C83112026798DA"",1)",11-2,3-10,247818.066412698,144059,5301,0.0368,70,$1.62,,0.0593,自然搜索词/HR推荐词/品牌广告词/视频广告词/SP广告词,4,1,287949,12,B07T9S3Q5N/B0CGJ5GZWM/B0C7BS8P5Y/B09HJH1S41/B087LRFYDB/B016UG6PWE/B08NPGCFSG/B08MFKSVX5/B084YQSVZ6/B015TKUPIC/B09F9CR89W/B09W2GVWKM,5306,,,,,14,3314,187.63,546,0.2407,0.1834,,$0.91 - $1.72,B07CZDXDG8,0.1133,0.0945,B07QXV6N1B,0.087,0.0694,B0C4JTVBBH,0.0405,0.0195,"B07CZDXDG8,B0CDH4Z3JR,B0C4JTVBBH,B07QXV6N1B,B0CF3WGHWN,B08QHG7BTB,B0CBBQNW4K,B0C4LSYTDS,B09176JCKZ,B0B17NRVDV"
10,booster pack jump starter,助推器包跳跃启动器,"'=DISPIMG(""ID_F92A38EB015D4581A0B32AF93164C287"",1)",11-3,4-10,143739.704331797,56130,5298,0.0944,70,$2.79,,0.0062,自然搜索词/品牌广告词/视频广告词/SP广告词,6,1,29894,13,B08TWVQCDH/B08MFKSVX5/B09HJH1S41/B0C7BS8P5Y/B016UG6PWE/B087LRFYDB/B08NPGCFSG/B084YQSVZ6/B015TKUPIC/B0CGJ5GZWM/B09F9CR89W/B09W2GVWKM/B07T9S3Q5N,94475,,,,,0,13,5002.15,7,0.5575,0,,$1.02 - $1.50,B0CPWQL4TB,0.3146,0,B00CRMTFUK,0.1293,0,B0B658JXC3,0.1136,0,"B0B6583PVV,B0B72TVT92,B000IBJKX4,B00463GPHY,B01AVSALUE,B0BZYZTL6C,B0875MWHHS,B0B6QFXBSW,B000HJ122O,B00VE6GQB6"
11,jump starter,起跳器,"'=DISPIMG(""ID_B408315CE9664F78ACEE15EA7DBE868C"",1)",10-3,4-9,113584.942127544,170466,5011,0.0294,66,$3.35,,0.0657,自然搜索词/HR推荐词/品牌广告词/视频广告词/SP广告词,6,58,319410,12,B07T9S3Q5N/B08MFKSVX5/B09HJH1S41/B0C7BS8P5Y/B087LRFYDB/B016UG6PWE/B08NPGCFSG/B084YQSVZ6/B015TKUPIC/B09F9CR89W/B0CGJ5GZWM/B08TWVQCDH,4583,,,,,11,1090,140.92,21,0.4975,0.3645,,$6.55 - $10.93,B000CITK8S,0.2568,0.1981,B00068XCQU,0.1508,0.103,B08R3SR3SB,0.09,0.0634,"B08R3SR3SB,B000CITK8S,B00068XCQU,B000NCOKZQ,B06X9GGNZC,B016S7NHWQ,B000CITKCE,B00EDFPN1O,B07XMJDJX7,B01L0HTX72"
12,car battery jump starter,汽车电池起动器,"'=DISPIMG(""ID_3E76C33096FA497F9F82544D36C65C0A"",1)",11-2,3-10,112443.883448541,119585,7055,0.059,93,$4.76,,0.0439,自然搜索词/HR推荐词/品牌广告词/视频广告词/SP广告词,5,1,213140,13,B08MFKSVX5/B09W2GVWKM/B0CGJ5GZWM/B09HJH1S41/B087LRFYDB/B0C7BS8P5Y/B016UG6PWE/B08NPGCFSG/B084YQSVZ6/B015TKUPIC/B09F9CR89W/B08TWVQCDH/B07T9S3Q5N,10224,,,,,24,4009,36.5,88,0.5521,0.4734,,$1.10 - $1.84,B07W46BX31,0.2877,0.2126,B097D397M6,0.2103,0.2289,B07W3QT226,0.0541,0.0319,"B097D397M6,B098JVY4B9,B094VQ88X2,B015TKUPIC,B0CJXWDFSC,B07W46BX31,B07W6B987F,B07W3QT226,B07W8KJH44,B07W3QSMF9"
13,battery chargers automobile 12 volt,电池充电器汽车 12 伏,"'=DISPIMG(""ID_C296FAC613444210A2E8CDAF41309E49"",1)",9-4,5-8,82135.8987878788,34450,1646,0.0478,22,1.5,,0.0028,自然搜索词,34,,13432,6,B015TKUPIC/B09F9CR89W/B016UG6PWE/B087LRFYDB/B08NPGCFSG/B09HJH1S41,34191,,,,,35,10668,174.53,678,0.6125,0.0624,,$0.67 - $1.11,B0BQZ9K23L,0.3881,0.0299,B0BNYQY82B,0.1596,0.0198,B0BVMZNZPN,0.0648,0.0127,"B0BQZ9K23L,B0BNYQY82B,B0BVMZNZPN,B0C2G9WLFG,B000FZX93K,0060097914,B0CFP31TDT,1400237904,B0BV89KB7M,B0000026X4"
