source_row,大框,unnamed_02,unnamed_03,unnamed_04,unnamed_05,unnamed_06,unnamed_07
2,小框架,,,,,,
3,图序,主图1,主图2,主图3,主图4,主图5,主图6
4,卖点,外观+配件,"启动快:10S启动
电流大:4000A
锂离子电池组
电容大:44.4Wh","电压大 12V
启动大容量汽车：MAX 4.5L
启动大容量柴油车：MAX 3.0L","充气快
10s
17500转/分钟 19L/分钟
气压大：MAX 150PSI","充气多：33-36PSI 30次
多设备气压模式：
5个模式 汽车 摩托车
单车 球类 手动
气压阈值区间大：3-150PSI
气压单位多：4个单位 PSI BAR KPA Kg/cm²","不损坏汽车电瓶
待机久：25个月
质量好：耐用10年寿命长 质量可靠
电池循环次数多：3000次"
5,画面,,,,,,
7,图序,A+1-1,,A+1-2,,A+1-3,
8,卖点,"电容大 启动快 电压大
充气快 气压大
充气多 质量好",,,,,
9,画面,,,,,,
10,图序,A+2-1,,A+2-2,,A+2-3,
11,卖点,"启动设备种类多：除草机 摩托 小轿车 SUV 皮卡 货车
启动多规格容量设备：1L-10L
电压大 12V",,"适合多产品充气 ：汽车 SUV 皮卡 摩托车 单车 球类 泳圈 气球
气嘴多：5个气嘴 汽车 摩托 单车 球类 气球 游泳圈",,,
12,画面,,,,,,
13,图序,A+3-1,,A+3-2,,A+3-3,
14,卖点,"操作便捷 启动
操作便捷 充气",,"无电源线
充满自停",,,
15,画面,,,,,,
16,图序,A+4-1,,A+4-2,,A+4-3,
17,卖点,"安全性高-产品本身：智能芯片
a.短路保护 b.过流保护 c.过压保护
d.欠压保护 e.过载保护 f.过温保护
安全性高-夹子配件：智能夹子
IP63 无火花 夹反不短路 互夹不短路",,"适用温度区间大：   -10℃-40℃/14℃-104℃
冬天不亏电
安全隐患-夏天车里不自燃
散热好
使用不发热",,售后好 ：10年包退 7*24小时售后,
18,画面,,,,,,
19,图序,A+5-1,,A+5-2,,A+5-3,
20,卖点,"便携
尺寸重量",,"气压检测
气压检测---准确-实时：准确无误
气压检测---一插即测：即插即用，不需要启动电源
LED大屏 5.5英寸大屏 高亮：阳光下看清楚",,,
21,画面,,,,,,
22,图序,A+6-1,,A+6-2,,A+6-3,
23,卖点,"LED灯
做充电宝
LED大屏
可自充电
防摔",,"做充电宝-充电快：5V/2.1A Max
做充电宝-充电次数多：DC5V/2A （TYPE-C）) 12000mAh/
手机5次 平板3次 相机2次 笔记本1次
做充电宝-多充电口【出】：1个 USB-A
做充电宝-多充电口【入】：1个 TYPE-C
做充电宝-适用多种设备：数码产品 手机 平板 笔记本 相机 无人机 小风扇 USB灯泡
可自充电-充的快：DC5V/2A （TYPE-C）)/DC:~6h",,"LED灯-多种照明方式 ：3种 常亮 爆闪 SOS
LED灯-亮度大 流明高 ：300 LUMEN
LED灯-照明时间久 ：30个小时
LED灯-冷光不发热 ：不易烫坏身边的塑料产品
LED灯-照明功率大 ：0.5W 照明范围3-5米
LED灯-多使用场景：外出露营 夜晚应急照明 汽车维修等",
24,画面,,,,,,
25,图序,A+7-1,,A+7-2,,A+7-3,
26,卖点,"配件多 全家福：
TYPE-c 充电线*1;充气管 *1;充电夹*1
气嘴*5;擦布*1;收纳盒*1;说明书*1",,外壳材质：ABS材质 磨砂手感 舒适防滑,,收纳盒：收纳方便 保护产品 配件分类收纳,
27,画面,,,,,,
