source_row,框架序号,第一梯队热搜词根,卖点/参数,第二梯队热搜词根,卖点/参数_2,第三梯队热搜词根,卖点/参数_3,适用人群,场景,适用产品,unnamed_11
2,词根框架,jump starter,,jumper starter,,jump box,,,,,
3,标题框架,Portable Car Jump Starter with Air Compressor,4000A 12V 150PSI MARBERO,car battery jumper starter portable,8.0 Gas/7.0L Diesel,jump box for car battery,44.4Wh power bank LED lights,Drivers Motorcycle rider,Self driving travel,,45
4,吃下的流量词,4,,battery jumper starter portable,,jump box for car battery,,,,,
5,,portable car jump starter,,car jumper starter portable,,jump box,,,,,
6,,battery jumper starter portable,,car battery jumper starter portable,,car starter jump box,,,,,
7,,booster pack jump starter,,portable jumper starter,,battery jump box,,,,,
8,,jump starter,,battery jumper starter,,jump boxes,,,,,
9,,car battery jump starter,,jumper starter,,car jump box,,,,,
10,,portable battery jump starter for car,,jumper starter for car,,,,,,,
11,,battery charger car jump starter,,,,,,,,,
12,,car jump starter,,,,,,,,,
13,,jump starters,,,,,,,,,
14,,car battery charger jump starter portable with air compressor,,,,,,,,,
15,,portable car battery charger and jump starter,,,,,,,,,
16,,car jump starter portable,,,,,,,,,
17,,jump starter with air compressor,,,,,,,,,
18,成标题,Portable Car Jump Starter with Air Compressor 4000A 12V 150PSI MARBERO car battery jumper starter portable 8.0 Gas/7.0L Diesel jump box for car battery 44.4Wh power bank LED lights for driving travel,,,,,,,,,199
20,使用中,"Portable Car Jump Starter with Air Compressor 4000A 12V MARBERO Portable Car Battery Booster Pack 8.0 Gas/7.0L Diesel 150PSI Auto Off Tire Inflator Jump Box with Digital Screen, Flashlight, Power Bank",,,,,,,,,200
