sheet_name,max_row,max_column,used_row_count,used_column_count,is_keyword_asset_context
链接框架,57,10,57,9,False
1.竞品库,101,49,101,49,True
2.卖点库,54,13,43,2,True
4.竞品卖点汇总分析,46,11,46,11,False
3.评价分析,108,3,108,3,True
4.竞品QA分析,15,7,15,7,True
5.文案,1,1,0,0,False
5.自己卖点框架,16,27,16,27,True
5点,9,15,9,15,False
6.作图框架,27,8,26,7,True
3.竞品图库,13,49,13,49,True
7.作图需求,156,7,136,7,True
8.视频框架,1,1,0,0,False
9.视频需求,1,1,0,0,False
销量计划,33,16384,30,83,False
竞品5点库,11,37,11,37,True
竞品标题库,43,1,41,1,True
5.关键词库,803,42,802,42,True
标题框架,43,11,19,11,True
新主图优化,1,1,1,1,False
